You have 91 points.

      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:40:19  1989      0          -     -      -
 24   01:20:39   148      0   01:22:13   122      0
 23   00:07:29    10     91          -     -      -
 21   00:13:45  1256      0          -     -      -
 20   01:04:41  2307      0   01:14:56  2392      0
 18   01:41:59  1242      0   01:47:02  1162      0
 17   00:46:09  3209      0   00:52:43  2609      0
 16   01:06:03  2030      0   02:44:19  4215      0
 15   01:14:54  4562      0   01:35:12  3186      0
 14   00:11:20  1101      0   00:35:33  1279      0
 13   00:10:23   406      0   00:23:57  1336      0
 12   00:11:06   444      0   03:22:30  8196      0
 11   00:29:49  2508      0   00:35:05  2616      0
 10   00:14:57  3100      0   00:23:39  2457      0
  9   00:08:00  1028      0   00:42:09  3199      0
  8   00:05:24   345      0   00:25:32   253      0
  7   00:10:34  4769      0   00:18:20  4643      0
  6   00:06:17  1186      0   00:17:41  1620      0
  5   00:24:29  3231      0   00:46:39  3841      0
  4   00:34:36  3213      0   00:35:52  2110      0
  3   00:12:05  3916      0   00:28:00  2116      0
  2   00:03:20  1330      0   00:04:25   587      0
  1   00:02:00   617      0   00:07:35  1534      0
